neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Neighborhood highlights,40.67296,-73.96288,Private room,25.0,30,317,3.16,3,129
,40.65921,-73.96063,Entire home/apt,,30,3,0.03,1,0
Neighborhood highlights,40.7198,-73.98669,Entire home/apt,,30,9,0.09,1,47
Neighborhood highlights,40.65303,-73.72543,Private room,,30,0,0.0,1,0
,40.67417,-73.98005,Entire home/apt,,30,3,0.03,1,0
,40.76064,-73.99205,Private room,,400,1,0.01,1,0
Neighborhood highlights,40.66572,-73.93194,Private room,,30,31,0.32,1,0
Neighborhood highlights,40.71146,-73.99649,Entire home/apt,,30,44,0.44,1,0
,40.82213,-73.92754,Entire home/apt,,30,2,0.02,1,0
,40.71357,-73.9606,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.71228,-73.84201,Private room,229.0,30,22,0.22,5,364
Neighborhood highlights,40.7069,-73.93108,Private room,59.0,30,8,0.1,7,335
Neighborhood highlights,40.82018,-73.90302,Private room,,30,5,0.05,2,0
Neighborhood highlights,40.69919,-73.91099,Private room,135.0,30,4,0.08,1,88
Neighborhood highlights,40.74542,-73.92141,Entire home/apt,,30,8,0.08,1,0
Neighborhood highlights,40.69277,-73.9512,Entire home/apt,,30,1,0.01,1,0
,40.80503,-73.95569,Entire home/apt,,30,23,0.23,1,0
Neighborhood highlights,40.86926,-73.92221,Entire home/apt,,30,140,1.4,1,0
Neighborhood highlights,40.58992,-73.81137,Entire home/apt,290.0,30,4,0.08,2,173
Neighborhood highlights,40.71644,-73.96194,Private room,195.0,3,305,3.1,1,214
,40.80178,-73.94011,Private room,,30,26,0.26,1,0
Neighborhood highlights,40.71494,-73.93923,Private room,,30,6,0.06,1,0
Neighborhood highlights,40.72582,-73.98212,Private room,,30,6,0.06,1,0
,40.82615,-73.94447,Private room,,30,22,0.22,2,0
Neighborhood highlights,40.64572,-73.97945,Entire home/apt,,30,57,0.57,3,0
Neighborhood highlights,40.76811,-73.92261,Entire home/apt,,30,19,0.19,1,0
Neighborhood highlights,40.70253,-73.92234,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.66451,-73.91682,Private room,75.0,30,37,0.39,3,364
Neighborhood highlights,40.67141,-73.95976,Entire home/apt,,30,1,0.01,1,0
,40.66831,-73.9469,Private room,,30,5,0.05,1,0
Neighborhood highlights,40.82325,-73.95133,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.78573,-73.97112,Entire home/apt,194.0,30,35,0.4,47,289
Neighborhood highlights,40.70108,-73.91735,Entire home/apt,,30,19,0.24,2,0
Neighborhood highlights,40.73435,-73.98207,Entire home/apt,,30,7,0.07,1,0
,40.83483,-73.9451,Entire home/apt,,30,1,0.01,1,0
,40.71673,-73.959,Entire home/apt,,30,8,0.22,1,0
,40.80858,-73.94247,Private room,,30,7,0.07,1,0
Neighborhood highlights,40.85196,-73.92168,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.7285,-73.9848,Entire home/apt,,30,2,0.02,1,0
,40.70342,-73.90783,Private room,,30,5,0.05,1,0
Neighborhood highlights,40.81703,-73.93474,Entire home/apt,,30,19,0.2,1,0
Neighborhood highlights,40.70602,-73.95333,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.79237,-73.94402,Entire home/apt,107.0,30,122,1.23,1,304
,40.67674,-73.92417,Entire home/apt,120.0,30,57,0.57,1,177
Neighborhood highlights,40.8326,-73.94035,Entire home/apt,,30,8,0.08,1,0
,40.71318,-73.94887,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.83793,-73.78328,Private room,88.0,1,80,1.0,1,327
Neighborhood highlights,40.67603,-73.91088,Entire home/apt,120.0,30,62,0.62,3,361
Neighborhood highlights,40.67486,-73.95545,Entire home/apt,,30,1,0.01,1,0
,40.71787,-73.95838,Entire home/apt,,30,24,0.24,1,0
Neighborhood highlights,40.59135,-73.81148,Private room,146.0,3,86,0.87,1,359
Neighborhood highlights,40.76189,-73.92332,Private room,,30,174,1.74,2,236
,40.82548,-73.94493,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.74848,-73.97757,Entire home/apt,194.0,30,2,0.02,83,365
Neighborhood highlights,40.80096,-73.96066,Private room,,30,4,0.04,1,0
Neighborhood highlights,40.68232,-73.96818,Private room,,30,1,0.01,1,0
,40.71484,-73.94615,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.82578,-73.94226,Private room,55.0,30,66,0.66,3,249
Neighborhood highlights,40.67778173650108,-73.97999605008138,Private room,,30,7,0.25,1,305
,40.67885,-73.94919,Entire home/apt,,30,7,0.07,1,0
Neighborhood highlights,40.72026,-73.98721,Entire home/apt,288.0,30,22,0.23,1,142
Neighborhood highlights,40.6764,-73.90913,Entire home/apt,104.0,30,59,0.59,3,349
Neighborhood highlights,40.73761,-74.00647,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.74531,-74.00227,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.69991,-73.93857,Private room,,30,15,0.15,2,0
Neighborhood highlights,40.67615,-73.9336,Private room,247.0,2,207,2.08,2,271
,40.76971,-73.91909,Entire home/apt,,30,0,0.0,1,0
,40.76677,-73.91176,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.71727,-73.99312,Entire home/apt,,30,49,0.58,2,26
Neighborhood highlights,40.68739,-73.87037,Private room,45.0,30,61,0.62,5,228
,40.76954,-73.95509,Entire home/apt,,30,0,0.0,2,0
,40.69436,-73.82893,Private room,,30,25,0.25,1,0
,40.63862,-73.9116,Entire home/apt,131.0,30,254,2.55,1,122
,40.6933,-73.99759,Private room,90.0,30,15,0.16,3,167
,40.73194,-73.98816,Entire home/apt,,30,10,0.1,1,0
Neighborhood highlights,40.75561,-73.80948,Entire home/apt,500.0,30,19,0.19,7,134
Neighborhood highlights,40.71872,-73.98174,Private room,,30,18,0.18,1,0
Neighborhood highlights,40.66023,-73.98289,Entire home/apt,261.0,30,51,0.54,1,92
Neighborhood highlights,40.69385,-73.94844,Entire home/apt,,30,9,0.1,1,0
Neighborhood highlights,40.68223,-73.95269,Private room,,30,16,0.16,1,0
Neighborhood highlights,40.84497,-73.94201,Private room,,30,48,0.49,1,0
Neighborhood highlights,40.68930169958648,-73.87234568991197,Private room,45.0,30,55,0.56,5,316
Neighborhood highlights,40.69575,-73.9743,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.73603,-73.99234,Entire home/apt,295.0,30,14,0.34,1,329
Neighborhood highlights,40.71686,-73.94441,Entire home/apt,,30,10,0.12,1,0
Neighborhood highlights,40.71204,-73.99038,Entire home/apt,,30,6,0.06,4,0
,40.68597,-73.96382,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.81993,-73.94662,Private room,,30,42,0.42,1,0
,40.72078,-73.98823,Entire home/apt,,30,7,0.07,1,0
,40.69857,-73.92982,Private room,,30,0,0.0,2,0
Neighborhood highlights,40.68637733482319,-73.94934911230594,Entire home/apt,503.0,30,6,0.06,3,195
Neighborhood highlights,40.77016,-73.95716,Entire home/apt,165.0,30,41,0.42,47,338
,40.77437,-73.95664,Entire home/apt,,30,3,0.03,1,0
Neighborhood highlights,40.76403,-73.94869,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.72277,-73.86837,Private room,298.0,2,171,1.74,1,309
Neighborhood highlights,40.67574,-73.94092,Entire home/apt,185.0,90,73,0.74,1,365
,40.67905,-73.94168,Private room,201.0,30,27,0.27,1,270
,40.76039,-73.98901,Entire home/apt,,30,0,0.0,1,0
,40.59615,-73.94238,Entire home/apt,96.0,30,63,0.66,1,179
,40.7769,-73.90869,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.79137,-73.94388,Private room,90.0,30,78,1.56,1,235
,40.75983,-73.99812,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.77253,-73.90472,Private room,59.0,30,171,1.71,6,304
,40.7635,-73.95838,Entire home/apt,,30,36,0.36,1,0
Neighborhood highlights,40.68988,-73.9158,Private room,,30,7,0.07,1,0
,40.7878,-73.94829,Private room,,30,8,0.08,1,0
,40.72193,-73.95614,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.70998,-73.94669,Private room,,30,2,0.02,1,0
Neighborhood highlights,40.6884,-73.85267,Private room,,30,10,0.1,1,0
,40.73214,-73.98598,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.69655,-73.97262,Entire home/apt,,30,0,0.0,1,357
Neighborhood highlights,40.7826,-73.94914,Private room,,30,34,0.34,1,0
,40.74203,-73.9809,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.77253,-73.90472,Private room,56.0,30,120,1.2,6,320
Neighborhood highlights,40.77253,-73.90472,Private room,,30,146,1.46,6,236
,40.69418,-73.94954,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.70457,-73.92762,Private room,,30,14,0.14,1,0
Neighborhood highlights,40.74957,-73.97729,Entire home/apt,170.0,30,3,0.03,83,364
,40.71896,-73.99774,Entire home/apt,175.0,30,8,0.08,239,352
Neighborhood highlights,40.74926,-73.97643,Entire home/apt,180.0,30,0,0.0,83,365
,40.73459,-74.0044,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.77002,-73.9076,Private room,,30,0,0.0,1,89
Neighborhood highlights,40.64141,-73.97201,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.70828,-73.95609,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.71954,-73.96048,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.666,-73.95103,Entire home/apt,,30,6,0.06,1,0
Neighborhood highlights,40.76089,-73.99662,Entire home/apt,232.0,30,4,0.04,1,362
,40.68176,-73.96417,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.78205,-73.94776,Private room,110.0,30,5,0.05,1,179
,40.65534,-73.91732,Entire home/apt,,30,46,0.46,2,0
Neighborhood highlights,40.76924,-73.95018,Private room,,30,1,0.01,1,0
,40.72156,-73.98255,Entire home/apt,,30,31,0.31,1,0
Neighborhood highlights,40.80256,-73.9545,Entire home/apt,,30,0,0.0,1,0
,40.76012,-73.93338,Private room,,30,19,0.19,1,0
Neighborhood highlights,40.77253,-73.90472,Private room,49.0,30,143,1.44,6,0
Neighborhood highlights,40.78333,-73.94681,Private room,,30,22,0.22,1,0
,40.73694,-73.98517,Entire home/apt,,30,0,0.0,1,0
,40.71896,-73.99774,Entire home/apt,130.0,30,13,0.14,239,356
Neighborhood highlights,40.74285,-74.00075,Private room,,30,0,0.0,1,0
,40.69292,-73.94751,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.59623,-73.95961,Entire home/apt,,30,20,0.2,1,0
,40.71647,-73.95999,Private room,,30,3,0.04,1,0
,40.6957,-73.97113,Private room,,30,2,0.02,1,0
,40.73872,-73.97995,Private room,,30,14,0.14,1,0
Neighborhood highlights,40.72633,-73.98451,Entire home/apt,,30,31,0.33,1,0
,40.67955,-73.94835,Private room,,30,5,0.05,1,0
Neighborhood highlights,40.74443,-73.87589,Private room,,30,112,1.12,2,0
Neighborhood highlights,40.69287,-73.93133,Private room,46.0,30,32,0.33,2,363
,40.67505,-73.9553,Private room,,30,13,0.13,2,0
Neighborhood highlights,40.69686,-73.9245,Private room,,30,0,0.0,5,0
,40.80989,-73.95399,Private room,,30,3,0.03,2,0
,40.82933,-73.95067,Private room,,30,3,0.03,1,0
Neighborhood highlights,40.76762,-73.98485,Private room,108.0,30,36,0.39,4,335
,40.71111,-73.94967,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.75761,-73.96422,Private room,,30,3,0.04,2,0
Neighborhood highlights,40.71348,-73.99649,Private room,,30,2,0.02,1,0
Neighborhood highlights,40.75527,-73.9973,Entire home/apt,200.0,30,64,0.65,5,339
Neighborhood highlights,40.66346,-73.94943,Entire home/apt,134.0,30,24,0.24,2,174
Neighborhood highlights,40.85697,-73.93668,Entire home/apt,,30,11,0.11,2,0
,40.7113,-73.94941,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.69341,-73.96756,Entire home/apt,,30,313,3.16,1,0
Neighborhood highlights,40.7385,-74.00503,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.7267,-73.98411,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.6347,-74.10965,Entire home/apt,43.0,30,17,0.18,1,210
Neighborhood highlights,40.7454,-73.97401,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.69556,-73.92477,Private room,,30,6,0.07,5,0
Neighborhood highlights,40.8509,-73.86054,Private room,34.0,2,174,1.81,8,176
Neighborhood highlights,40.79472,-73.9737,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.69435,-73.95092,Entire home/apt,150.0,30,151,1.53,2,331
Neighborhood highlights,40.64501,-73.99684,Entire home/apt,142.0,30,7,0.07,1,364
,40.59035,-73.80217,Entire home/apt,299.0,30,99,1.0,1,363
Neighborhood highlights,40.68566,-73.93335,Entire home/apt,127.0,30,128,1.31,1,33
Neighborhood highlights,40.73592,-73.99236,Entire home/apt,,30,3,0.03,1,0
Neighborhood highlights,40.69957,-73.9254,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.74233,-73.97836,Private room,,30,15,0.15,1,0
Neighborhood highlights,40.73693,-73.8811,Entire home/apt,,30,6,0.06,1,0
Neighborhood highlights,40.72969,-73.98288,Private room,,30,6,0.06,1,0
,40.76991,-73.92975,Entire home/apt,,30,2,0.02,1,0
,40.6945,-73.95094,Private room,,30,0,0.0,1,0
,40.75688,-73.89137,Private room,,30,26,0.26,1,0
Neighborhood highlights,40.71066,-73.95258,Private room,,30,0,0.0,1,0
,40.67078,-73.93592,Entire home/apt,149.0,30,59,0.6,3,244
,40.71385,-73.83189,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.7827,-73.95079,Private room,,30,3,0.03,1,0
Neighborhood highlights,40.8053,-73.96625,Entire home/apt,,30,6,0.06,2,0
Neighborhood highlights,40.68767047938851,-73.87235950368562,Private room,56.0,30,61,0.62,5,182
,40.69458,-73.84659,Private room,45.0,30,60,0.6,4,178
Neighborhood highlights,40.68944,-74.00093,Entire home/apt,,30,3,0.03,1,0
Neighborhood highlights,40.77683,-73.95325,Private room,115.0,30,197,2.0,1,269
,40.79312,-73.97674,Entire home/apt,,30,8,0.08,1,0
,40.73642,-73.92635,Private room,45.0,30,91,0.92,2,149
Neighborhood highlights,40.68319,-73.96467,Private room,,30,1,0.01,1,0
,40.78106,-73.91137,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.68816,-73.94207,Private room,,30,8,0.08,1,0
Neighborhood highlights,40.69363,-73.95217,Entire home/apt,,30,63,0.66,1,0
,40.73396,-73.9849,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.71066,-73.85087,Private room,97.0,30,90,0.91,2,133
Neighborhood highlights,40.68342,-73.94474,Entire home/apt,,30,27,0.28,1,0
,40.671,-73.93599,Entire home/apt,185.0,30,35,0.35,3,264
Neighborhood highlights,40.85702,-73.93638,Private room,,30,4,0.04,2,0
,40.76303,-73.99348,Entire home/apt,159.0,30,6,0.06,239,291
,40.72582,-73.95556,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.74922,-74.00478,Entire home/apt,850.0,365,24,0.25,1,365
Neighborhood highlights,40.82944,-73.94529,Private room,,30,5,0.05,2,0
,40.71513,-73.99128,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.67729,-73.98161,Entire home/apt,,30,4,0.05,1,0
Neighborhood highlights,40.58457,-73.81419,Entire home/apt,,30,19,0.22,1,0
Neighborhood highlights,40.71166,-73.99606,Private room,,30,0,0.0,1,0
,40.69555,-73.90455,Private room,,30,0,0.0,1,0
,40.71488,-73.94091,Private room,,30,1,0.01,3,0
Neighborhood highlights,40.80208,-73.93607,Private room,85.0,30,104,1.06,2,89
,40.71786,-73.96483,Entire home/apt,,30,11,0.11,1,0
Neighborhood highlights,40.70535,-73.92418,Entire home/apt,,30,12,0.12,1,0
,40.70093,-73.98064,Private room,85.0,31,15,0.15,3,354
,40.70992,-73.956,Entire home/apt,,30,0,0.0,1,0
,40.63679,-73.96867,Private room,,30,6,0.06,1,0
Neighborhood highlights,40.85646,-73.86578,Private room,39.0,30,36,0.37,1,0
Neighborhood highlights,40.77253,-73.90472,Private room,42.0,30,181,1.82,6,306
Neighborhood highlights,40.74444,-73.9784,Entire home/apt,,30,39,0.43,2,0
Neighborhood highlights,40.89111,-73.83412,Private room,,30,4,0.04,1,0
,40.69941,-73.84066,Entire home/apt,76.0,30,9,0.1,4,164
Neighborhood highlights,40.59414,-74.0607,Entire home/apt,600.0,30,0,0.0,3,365
,40.70259,-73.83491,Entire home/apt,,30,0,0.0,1,0
,40.69035,-73.95873,Private room,,30,4,0.04,1,0
,40.81905,-73.95761,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.69421,-73.96913,Entire home/apt,,30,5,0.05,1,0
Neighborhood highlights,40.72719,-73.97775,Entire home/apt,200.0,30,333,3.4,3,364
Neighborhood highlights,40.70790820825031,-73.75866968345426,Private room,128.0,1,393,4.0,1,163
Neighborhood highlights,40.68893,-73.96129,Private room,,30,4,0.04,1,0
Neighborhood highlights,40.81205,-73.9434,Entire home/apt,250.0,30,103,1.11,1,269
Neighborhood highlights,40.76429,-73.98669,Private room,,30,91,0.92,1,0
,40.68362,-73.99381,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.81072,-73.94326,Entire home/apt,,30,5,0.05,1,0
,40.70522,-73.92252,Private room,,30,4,0.04,1,0
Neighborhood highlights,40.87842,-73.8593,Private room,,30,33,0.34,4,0
Neighborhood highlights,40.71906,-73.94246,Entire home/apt,142.0,30,211,2.12,1,249
,40.68892,-73.9089,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.72045,-73.96192,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.73998,-73.9812,Private room,,30,5,0.07,1,0
,40.73859,-73.98253,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.67824,-73.95098,Entire home/apt,,30,84,0.87,1,0
,40.74764,-73.86538,Shared room,71.0,1,104,1.06,4,358
,40.78172,-73.94697,Entire home/apt,,30,3,0.03,1,0
,40.69424,-73.84691,Private room,51.0,30,79,0.8,4,365
,40.68478,-74.0031,Entire home/apt,,30,11,0.11,1,0
Neighborhood highlights,40.78522,-73.95377,Private room,,30,37,0.38,1,0
,40.71005,-73.95748,Entire home/apt,,30,0,0.0,1,0
,40.6878508133699,-73.96407027937877,Entire home/apt,693.0,2,134,1.36,1,201
,40.73843,-73.92769,Private room,,30,99,1.0,2,120
,40.78706,-73.94363,Entire home/apt,,30,3,0.03,1,0
,40.77726,-73.97919,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.7486,-73.97729,Entire home/apt,230.0,30,1,0.01,83,365
Neighborhood highlights,40.75029,-73.97694,Entire home/apt,240.0,30,8,0.09,83,356
Neighborhood highlights,40.68182,-74.00455,Private room,153.0,30,80,0.86,1,68
,40.80206,-73.95442,Private room,69.0,30,259,2.62,1,359
Neighborhood highlights,40.824902,-73.952759,Private room,77.0,30,68,0.69,3,270
Neighborhood highlights,40.67530329299448,-73.93212214282661,Private room,87.0,30,52,0.53,1,365
,40.73075,-73.95724,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.67532,-73.94171,Entire home/apt,144.0,30,80,0.84,1,293
Neighborhood highlights,40.65684,-73.96209,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.67397,-73.95126,Private room,,30,5,0.05,1,0
Neighborhood highlights,40.66681,-73.8512,Entire home/apt,99.0,30,52,0.68,5,365
Neighborhood highlights,40.77253,-73.90472,Private room,59.0,30,144,1.45,6,313
Neighborhood highlights,40.8227,-73.94569,Private room,65.0,30,19,0.19,6,185
Neighborhood highlights,40.73643,-73.95541,Entire home/apt,,30,92,0.93,2,0
,40.71749,-73.94519,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.6858,-73.99181,Entire home/apt,,30,136,1.39,1,0
,40.6890047,-73.9359592,Entire home/apt,77.0,30,2,0.31,1,38
Neighborhood highlights,40.72097,-73.95827,Entire home/apt,,30,11,0.11,3,0
,40.85786,-73.93743,Private room,,30,1,0.01,2,0
,40.70226,-73.91566,Private room,,30,0,0.0,1,0
,40.6225,-74.031,Entire home/apt,198.0,30,116,1.18,2,361
Neighborhood highlights,40.75341,-73.97332,Private room,,30,0,0.0,3,0
,40.72069,-73.98649,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.82038,-73.95309,Private room,,30,0,0.0,1,0
,40.67803,-73.97367,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.77005,-73.9606,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.81659,-73.9391,Entire home/apt,,30,6,0.06,1,0
,40.70783,-73.94445,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.65718,-73.9159,Private room,63.0,30,17,0.18,9,90
Neighborhood highlights,40.8546,-73.86643,Private room,,30,21,0.21,1,0
Neighborhood highlights,40.85434,-73.93282,Entire home/apt,,30,17,0.17,1,0
Neighborhood highlights,40.83169,-73.94749,Private room,,30,0,0.0,2,0
Neighborhood highlights,40.66143,-73.9132,Private room,60.0,2,239,2.41,3,1
,40.6706,-73.94704,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.71248,-73.96095,Entire home/apt,450.0,30,41,0.43,2,334
,40.69276,-73.9458,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.72279,-73.98188,Entire home/apt,,30,22,0.22,1,0
Neighborhood highlights,40.72785,-73.94481,Entire home/apt,123.0,30,67,0.68,1,113
,40.64422,-73.95956,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.74984,-73.87411,Private room,,30,9,0.09,1,0
Neighborhood highlights,40.70862,-73.96722,Entire home/apt,175.0,30,79,0.81,3,239
Neighborhood highlights,40.73997,-73.97819,Private room,,30,26,0.26,1,0
Neighborhood highlights,40.73936,-74.00132,Private room,155.0,30,13,0.13,1,88
Neighborhood highlights,40.72224,-73.97932,Entire home/apt,,30,23,0.23,1,0
Neighborhood highlights,40.72364,-74.00401,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.69045,-73.9521,Private room,,30,22,0.22,1,0
Neighborhood highlights,40.74591,-73.9933,Private room,,30,20,0.2,1,0
,40.76241,-73.96118,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.70022,-73.92171,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.65225,-73.96351,Private room,,30,16,0.16,1,0
Neighborhood highlights,40.65273,-73.93192,Private room,52.0,30,24,0.25,7,98
,40.68198,-73.92754,Private room,,30,4,0.04,2,0
,40.70288,-73.74518,Private room,,30,0,0.0,1,0
,40.76164,-73.83184,Entire home/apt,,30,13,0.13,1,0
,40.75487,-73.8045,Private room,,30,66,0.7,4,0
,40.76602,-73.99077,Entire home/apt,,30,4,0.04,1,0
,40.74954819465907,-73.86303264971131,Shared room,,1,101,1.02,4,363
Neighborhood highlights,40.72734,-73.95116,Private room,,30,19,0.21,1,0
,40.88275,-73.88277,Entire home/apt,,30,1,0.01,1,0
Neighborhood highlights,40.76139,-73.9243,Private room,57.0,30,137,1.39,2,124
,40.73178,-73.9944,Entire home/apt,,30,3,0.03,1,0
Neighborhood highlights,40.69457,-73.94819,Entire home/apt,185.0,30,106,1.07,6,242
Neighborhood highlights,40.70911,-73.81756,Private room,,30,0,0.0,1,0
,40.72635,-73.93847,Entire home/apt,,30,30,0.3,1,0
,40.78207,-73.95434,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.7118,-73.85371,Entire home/apt,60.0,30,179,1.83,2,220
,40.79972,-73.96842,Private room,,30,4,0.04,1,0
,40.73952,-73.99671,Entire home/apt,,30,17,0.17,1,0
,40.67044,-73.87992,Entire home/apt,,30,5,0.05,1,0
,40.72894,-73.95719,Entire home/apt,,30,3,0.03,1,0
,40.75206,-73.97175,Private room,964.0,3,0,0.0,1,358
,40.72795,-74.00357,Entire home/apt,,30,0,0.0,1,0
,40.6661,-73.94172,Entire home/apt,,30,0,0.0,1,0
,40.71491,-73.9417,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.68554,-73.96952,Entire home/apt,265.0,30,120,1.22,1,208
Neighborhood highlights,40.64134,-74.07942,Private room,,31,0,0.0,1,0
,40.84831,-73.93952,Private room,45.0,30,28,0.29,1,92
Neighborhood highlights,40.6795,-73.96575,Private room,114.0,30,186,1.89,1,5
Neighborhood highlights,40.662,-73.92998,Entire home/apt,109.0,30,116,1.18,1,89
Neighborhood highlights,40.82122,-73.92859,Private room,118.0,1,467,4.8,3,27
,40.8038,-73.95639,Entire home/apt,,30,1,0.01,1,0
,40.7139,-73.83523,Private room,58.0,30,36,0.37,3,365
,40.6903,-73.93247,Private room,,30,1,0.01,1,0
,40.71695,-73.8337,Private room,,30,17,0.17,1,0
,40.68041,-73.99167,Entire home/apt,,30,1,0.01,1,0
,40.70779,-73.94298,Private room,,30,3,0.03,2,0
,40.70499,-73.92419,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.661434173583984,-73.91320037841797,Private room,,2,235,2.42,3,10
Neighborhood highlights,40.74815,-73.97581,Entire home/apt,170.0,30,12,0.12,83,356
,40.69385,-73.99698,Entire home/apt,,30,2,0.02,1,0
Neighborhood highlights,40.74998,-73.97545,Entire home/apt,190.0,30,14,0.15,83,356
Neighborhood highlights,40.661434173583984,-73.91320037841797,Private room,,2,182,2.31,3,9
Neighborhood highlights,40.8729,-73.91877,Private room,,30,19,0.19,1,0
Neighborhood highlights,40.77306,-73.98024,Entire home/apt,,30,3,0.03,1,0
,40.74496,-73.97803,Private room,,30,0,0.0,1,0
,40.7302,-73.98089,Private room,,30,7,0.07,2,0
,40.66836,-73.95003,Private room,,30,0,0.0,2,0
Neighborhood highlights,40.81925,-73.94639,Private room,,30,20,0.2,1,0
,40.75399,-73.96911,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.84387,-73.94205,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.70138,-73.9236,Private room,,30,8,0.08,1,0
,40.81249,-73.94722,Entire home/apt,,30,5,0.05,2,0
Neighborhood highlights,40.69491,-73.9233,Private room,,30,18,0.18,5,0
Neighborhood highlights,40.71894,-73.98642,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.70744,-73.96791,Entire home/apt,,30,8,0.08,1,0
Neighborhood highlights,40.77841,-73.94616,Entire home/apt,,30,4,0.04,1,0
,40.68077,-73.76845,Private room,100.0,30,23,0.23,1,269
Neighborhood highlights,40.6901,-73.99355,Entire home/apt,,30,32,0.33,1,0
Neighborhood highlights,40.72859,-73.95642,Entire home/apt,,30,4,0.04,1,0
Neighborhood highlights,40.66949,-73.92675,Private room,56.0,30,183,1.86,1,178
,40.72654,-73.9925,Entire home/apt,,30,42,0.43,1,0
,40.74872,-73.97491,Entire home/apt,,30,9,0.09,1,0
Neighborhood highlights,40.72344,-73.93988,Private room,,30,10,0.1,2,0
,40.71467,-73.83532,Private room,60.0,30,47,0.48,3,89
,40.71468,-73.83472,Private room,,30,37,0.38,1,0
,40.84027,-73.93723,Private room,,30,0,0.0,1,0
,40.71351,-73.8332,Private room,58.0,30,38,0.39,3,365
Neighborhood highlights,40.68521,-73.95304,Private room,,7,141,1.44,1,0
,40.68362,-73.95975,Private room,,30,4,0.04,1,0
Neighborhood highlights,40.691,-73.93107,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.72377,-73.99518,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.67384,-73.98199,Entire home/apt,141.0,30,128,1.3,1,333
